 
0.25	0	   
0.75	0	   
1.25	0.175605	   
1.75	0.39943	   
2.25	1.187551	   
2.75	2.12191	   
3.25	4.781617	   
3.75	9.152108	   
4.25	17.33688	   
4.75	23.57288	   
5.25	28.56469	   
5.75	33.35132	   
6.25	37.33423	   
6.75	42.96234	   
7.25	53.4431	   
7.75	62.8542	   
8.25	66.81445	   
8.75	82.23352	   
9.25	89.06401	   
9.75	89.74935	   
10.25	92.51383	   
10.75	92.51383	   
11.25	92.96287	   
11.75	92.96287	   
12.25	92.96287	   
12.75	92.96287	   
13.25	95.02429	   
13.75	97.32386	   
14.25	98.6094	   
14.75	98.6094	   
15.25	98.6094	   
15.75	98.6094	   
16.25	100	   
16.75	100	 
