 
2.667	1.480506	   
2.684	2.989482	   
2.701	4.527291	   
2.735	6.123864	   
2.752	7.750372	   
2.786	9.437868	   
2.801	11.15333	   
2.803	12.87188	   
2.820	14.62187	   
2.837	16.40368	   
2.841	18.19318	   
2.854	20.00719	   
2.861	21.83449	   
2.871	23.68109	   
2.881	25.54673	   
2.905	27.45966	   
2.920	29.40357	   
2.922	31.35026	   
2.940	33.33411	   
2.956	35.3495	   
2.973	37.39983	   
2.980	39.4652	   
2.990	41.55089	   
3.000	43.65784	   
3.020	45.80693	   
3.024	47.96454	   
3.041	50.1587	   
3.060	52.39375	   
3.075	54.66229	   
3.079	56.94116	   
3.092	59.24751	   
3.109	61.59209	   
3.119	63.96031	   
3.126	66.34353	   
3.139	68.7573	   
3.143	71.17959	   
3.159	73.63948	   
3.160	76.10126	   
3.194	78.64332	   
3.199	81.1972	   
3.211	83.78004	   
3.218	86.38181	   
3.228	89.00585	   
3.258	91.70518	   
3.262	94.41297	   
3.279	97.16329	   
3.313	100	 
